B,I,T,P,O,D,L
Adimani,Girls Party(Festive) Skirt Top,Pack of 5,₹280,"₹1,000",72% off,https://flipkart//chandrika-girls-party-festive-skirt-top/p/itm2dbf2cb9f53d3?pid=KPBFWBWWBZSGZZA8&lid=LSTKPBFWBWWBZSGZZA8KL1B2L&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KPBFWBWWBZSGZZA8.SEARCH&ssid=pd6h5gzd0w0000001609472196939
Chandrika,Girls Casual Polyester Fashion Sleeve Top,Yellow,₹415,₹899,53% off,https://flipkart//cutiekins-girls-casual-polyester-fashion-sleeve-top/p/itmb628da021abb2?pid=KTOFH7TJRGPECKJZ&lid=LSTKTOFH7TJRGPECKJZEJJLCE&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_0ppN4nIEfO9ZSxuCI3xgIvsn3uDc%2BmYj%2FRx7An2hxg5i9AHtdSidZa%2FddA4rnd%2BmFMxnS3NkQAbDMthylqr0ug%3D%3D&ssid=pd6h5gzd0w0000001609472196939
Yana,Girls Printed Low Cut,Multicolor,₹181,₹600,69% off,https://flipkart//adimani-girls-printed-low-cut/p/itme22aba95f9bce?pid=SOCFHDHVQY74GH8P&lid=LSTSOCFHDHVQY74GH8PPKQHKX&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.SOCFHDHVQY74GH8P.SEARCH&ssid=pd6h5gzd0w0000001609472196939
Clothes Shop,Girls Party(Festive) Skirt Top,"Green, Pack of 1",₹250,"₹1,000",75% off,https://flipkart//chandrika-girls-party-festive-skirt-top/p/itmfc3d0d647585c?pid=KPBFWBW7CBKZ8EWC&lid=LSTKPBFWBW7CBKZ8EWCVYWLKA&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KPBFWBW7CBKZ8EWC.SEARCH&ssid=pd6h5gzd0w0000001609472196939
NOT,"Women, Girls Sports Non Padded Bra","Blue, Pack of 1",₹260,"₹1,599",83% off,https://flipkart//yana-women-girls-sports-non-padded-bra/p/itm1dbab0da53a87?pid=BRAFYG5HRKVKMXXA&lid=LSTBRAFYG5HRKVKMXXAJGNCVS&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.BRAFYG5HRKVKMXXA.SEARCH&ssid=pd6h5gzd0w0000001609472196939
FTC FASHIONS,Girls Mini/Short Festive/Wedding Dress,"Blue, 3/4 Sleeve",₹189,₹999,81% off,https://flipkart//ftc-fashions-girls-mini-short-festive-wedding-dress/p/itma9f10fc5423c7?pid=KDEFZ5BCBZJMGK7E&lid=LSTKDEFZ5BCBZJMGK7ERIGBTW&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFZ5BCBZJMGK7E.SEARCH&ssid=62i0gzmsdc0000001609472205813
Fillory,"Women, Girls Tube Lightly Padded Bra",Black,₹165,₹699,76% off,https://flipkart//fillory-womens-tube-bra-floral-design-extra-transparent-straps-30-34-size-use-fancy-women-girls-lightly-padded/p/itm0cbcbc61be055?pid=BRAFGPRXE2HTAST2&lid=LSTBRAFGPRXE2HTAST2KUSPR6&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.BRAFGPRXE2HTAST2.SEARCH&ssid=62i0gzmsdc0000001609472205813
FTC FASHIONS,Girls Maxi/Full Length Party Dress,"Red, Full Sleeve",₹179,₹999,82% off,https://flipkart//ftc-fashions-girls-maxi-full-length-party-dress/p/itm9c4803aabf85e?pid=KDEFZD5FRHUYPGGH&lid=LSTKDEFZD5FRHUYPGGHGQ5ZLF&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFZD5FRHUYPGGH.SEARCH&ssid=62i0gzmsdc0000001609472205813
FTC FASHIONS,Girls Midi/Knee Length Party Dress,"Black, 3/4 Sleeve",₹199,₹999,80% off,https://flipkart//ftc-fashions-girls-midi-knee-length-party-dress/p/itmfhz87m2eygf3d?pid=KDEFB5CDH65GCFWH&lid=LSTKDEFB5CDH65GCFWHDXEOVD&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFB5CDH65GCFWH.SEARCH&ssid=62i0gzmsdc0000001609472205813
Manzon,Track Pant For Boys & Girls,"Multicolor, Pack of 6",₹242,"₹1,099",77% off,https://flipkart//manzon-track-pant-boys-girls/p/itmffh2jyu7ytqpn?pid=KTKFFKTGAKHG8BHA&lid=LSTKTKFFKTGAKHG8BHASSOBB5&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KTKFFKTGAKHG8BHA.SEARCH&ssid=62i0gzmsdc0000001609472205813
