I,R,P,O,D
Helokuki GM31 / M21 / A31 / M30S / A51 /A71 Wired Headset,3.5,₹278,₹999,72% off,https://www.flipkart.com/helokuki-gm31-m21-a31-m30s-a51-a71-wired-headset/p/itm1417a5447e2db?pid=ACCFSXHYM4ESHPEY&lid=LSTACCFSXHYM4ESHPEYX9RHK8&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFSXHYM4ESHPEY.SEARCH&ssid=staw9jogg00000001609474481806
RENMAX PTT Earpiece 2-Pin Earphone with Mic for Walkie Talkie Wired Headset,4.1,₹199,₹399,50% off,https://www.flipkart.com/renmax-ptt-earpiece-2-pin-earphone-mic-walkie-talkie-wired-headset/p/itmf153500de1d29?pid=ACCFF2RF4GVYQEFJ&lid=LSTACCFF2RF4GVYQEFJJEQZAF&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFF2RF4GVYQEFJ.SEARCH&ssid=staw9jogg00000001609474481806
Lumiford HD99 Bluetooth Headset,3.4,"₹1,399","₹3,305",57% off,https://www.flipkart.com/lumiford-hd99-bluetooth-headset/p/itm96d8521fe8448?pid=ACCFHDFGRDPZQA6F&lid=LSTACCFHDFGRDPZQA6FO2YZKE&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFHDFGRDPZQA6F.SEARCH&ssid=staw9jogg00000001609474481806
Helokuki Note 7 Pro / Note 7/ K20 / 7 / 7A / A3 / mi 10 Wired Headset,4,₹278,₹999,72% off,https://www.flipkart.com/helokuki-note-7-pro-7-k20-7a-a3-mi-10-wired-headset/p/itme614dbc2bf0b0?pid=ACCFSV6ZFMDWCYVR&lid=LSTACCFSV6ZFMDWCYVRIFIK7D&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFSV6ZFMDWCYVR.SEARCH&ssid=staw9jogg00000001609474481806
Olbon SPne 4 W Bluetooth  Speaker,4.2,₹373,"₹1,390",73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&srno=b_1_1&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_vr%2Bx3T5pcWVm6RENW8SRcx35sPd5%2BdnKQwuqG9kBY56sHEnpUC4VrD3JkD70MD8GpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=uvyl0b1u280000001609474487894
I Kall K22 40 W Bluetooth Home Theatre,3.7,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-k22-40-w-bluetooth-home-theatre/p/itm751097d29b26c?pid=ACCFZ9UZZRVSQWGZ&lid=LSTACCFZ9UZZRVSQWGZQAAPCT&marketplace=FLIPKART&srno=b_1_2&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFZ9UZZRVSQWGZ.SEARCH&ssid=uvyl0b1u280000001609474487894
I Kall IK201 BT 40 W Bluetooth Laptop/Desktop Speaker,3.6,"₹1,499","₹2,499",40% off,https://www.flipkart.com/kall-ik201-bt-40-w-bluetooth-laptop-desktop-speaker/p/itmbd4ba9563da2e?pid=ACCFG23FE6HMFEJ5&lid=LSTACCFG23FE6HMFEJ55JJ0OK&marketplace=FLIPKART&srno=b_1_3&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFG23FE6HMFEJ5.SEARCH&ssid=uvyl0b1u280000001609474487894
QOR9 WAVEBASS Bluetooth Headset,3.8,"₹1,899","₹2,999",36% off,https://www.flipkart.com/qor9-wavebass-bluetooth-headset/p/itmf1a1c49b90048?pid=ACCFVF6YSUUSFDDE&lid=LSTACCFVF6YSUUSFDDEIAC9GA&marketplace=FLIPKART&srno=b_1_4&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFVF6YSUUSFDDE.SEARCH&ssid=uvyl0b1u280000001609474487894
Obin HS-01 Super Bass Premium Wired Headset,4.1,₹479,"₹1,499",68% off,https://www.flipkart.com/obin-hs-01-super-bass-premium-wired-headset/p/itm5a7087ed78518?pid=ACCFDCTB8S59TDK3&lid=LSTACCFDCTB8S59TDK3GBHH5Z&marketplace=FLIPKART&srno=b_1_5&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFDCTB8S59TDK3.SEARCH&ssid=uvyl0b1u280000001609474487894
Deparq Vivo U20 / Y20 / S1 Pro / V17 / V19 / Y50 Wired Headset,4,₹299,₹999,70% off,https://www.flipkart.com/deparq-vivo-u20-y20-s1-pro-v17-v19-y50-wired-headset/p/itmaa7c28a062797?pid=ACCFWF8D8NYB4KZV&lid=LSTACCFWF8D8NYB4KZVWDPLOZ&marketplace=FLIPKART&srno=b_1_6&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=baeccc16-f52d-4181-a91a-f0e37edb7212.ACCFWF8D8NYB4KZV.SEARCH&ssid=uvyl0b1u280000001609474487894
