B,I,T,P,O,D,L
Super Deal Bazzar Store,"Girls Lehenga Choli Ethnic Wear Embroidered Ghagra, Cho...",Maroon,₹539,"₹1,999",73% off,https://flipkart.com/clothes-shop-girls-lehenga-choli-ethnic-wear-embroidered-ghagra-choli-dupatta-set/p/itm8b9513ad0a06f?pid=KLCFUMYZUQTU8Q9H&lid=LSTKLCFUMYZUQTU8Q9H3PQSOI&marketplace=FLIPKART&srno=b_9_343&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.KLCFUMYZUQTU8Q9H.SEARCH&ssid=wx3jonjrgg0000001609472527463
NOT,"Girls Lehenga Choli Ethnic Wear Embroidered Lehenga, Ch...","Dark Blue, Sleeveless",₹549,"₹1,599",65% off,https://flipkart.com/jogani-brother-girls-lehenga-choli-ethnic-wear-embroidered-lehenga-dupatta-set/p/itm5707148286cde?pid=KLCFWN9FYHGGJGHZ&lid=LSTKLCFWN9FYHGGJGHZLJ4WYC&marketplace=FLIPKART&srno=b_9_344&otracker=browse&fm=organic&iid=en_0%2Fndgb1%2FOujzrImM5pu8CQpkte%2FYsG%2F3cIRuW3D35mkeYKC3runM%2Buq4rFjmfYoCudYcctp8B1Qaett%2BnVmSKQ%3D%3D&ssid=wx3jonjrgg0000001609472527463
ARIEL,"Girls, Women Bralette Lightly Padded Bra","Multicolor, Pack of 5",₹179,₹599,70% off,https://flipkart.com/super-deal-bazzar-store-girls-women-bralette-lightly-padded-bra/p/itme9837a7a9a499?pid=BRAFVNJ32H6GQGNC&lid=LSTBRAFVNJ32H6GQGNC3CASBS&marketplace=FLIPKART&srno=b_9_345&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.BRAFVNJ32H6GQGNC.SEARCH&ssid=wx3jonjrgg0000001609472527463
MRM CREATION,Girls Party(Festive) T-shirt Pant,"Maroon, Pack of 1",₹449,"₹1,499",70% off,https://flipkart.com/not-girls-party-festive-t-shirt-pant/p/itm4192f94f5d1be?pid=KPBFW9AYNESSHNVA&lid=LSTKPBFW9AYNESSHNVA75SNC6&marketplace=FLIPKART&srno=b_9_346&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.KPBFW9AYNESSHNVA.SEARCH&ssid=wx3jonjrgg0000001609472527463
fasla,Full Sleeve Printed Girls Sweatshirt,"Multicolor, 3/4 Sleeve",₹749,"₹1,199",37% off,https://flipkart.com/ariel-full-sleeve-printed-girls-sweatshirt/p/itmf869a1bf0fe8c?pid=SWSFYBXHH7YGF4NJ&lid=LSTSWSFYBXHH7YGF4NJZRLUF7&marketplace=FLIPKART&srno=b_9_347&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.SWSFYBXHH7YGF4NJ.SEARCH&ssid=wx3jonjrgg0000001609472527463
CUTIEKINS,Girls Maxi/Full Length Party Dress,"Black, Pack of 1",₹309,"₹1,099",71% off,https://flipkart.com/mrm-creation-girls-maxi-full-length-party-dress/p/itmacbd7935f148c?pid=KDEFT8UDZGJHVPDA&lid=LSTKDEFT8UDZGJHVPDAP8UPV9&marketplace=FLIPKART&srno=b_9_348&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.KDEFT8UDZGJHVPDA.SEARCH&ssid=wx3jonjrgg0000001609472527463
Chandrika Pearls,Girls Printed Cotton Linen Blend T Shirt,Pack of 6,₹599,₹799,25% off,https://flipkart.com/fasla-girls-printed-cotton-linen-blend-t-shirt/p/itmbcaa332b5b071?pid=KTBFNPSCQ9SXQCEC&lid=LSTKTBFNPSCQ9SXQCECXX8QB7&marketplace=FLIPKART&srno=b_9_349&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.KTBFNPSCQ9SXQCEC.SEARCH&ssid=wx3jonjrgg0000001609472527463
Kuchipoo,Girls Casual Top Trouser,Light Green,₹704,"₹1,699",58% off,https://flipkart.com/cutiekins-girls-casual-top-trouser/p/itme8bad1216d3e7?pid=KPBFXZK2XK2YX8BV&lid=LSTKPBFXZK2XK2YX8BVSYS44D&marketplace=FLIPKART&srno=b_9_350&otracker=browse&fm=organic&iid=en_0%2Fndgb1%2FOujzrImM5pu8CQpkte%2FYsG%2F3cIRuW3D35mlvwSP06kgrtGLWRZ4riHjxcZYzC%2F4klQjeS9SKwLCg4A%3D%3D&ssid=wx3jonjrgg0000001609472527463
Kedar Fab,Girls Midi/Knee Length Party Dress,"Multicolor, Pack of 10",₹340,"₹1,500",77% off,https://flipkart.com/chandrika-pearls-girls-midi-knee-length-party-dress/p/itmfem5wbm9nqxzc?pid=KDEFAYP3GZR9TJQT&lid=LSTKDEFAYP3GZR9TJQTQMFPG5&marketplace=FLIPKART&srno=b_9_351&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.KDEFAYP3GZR9TJQT.SEARCH&ssid=wx3jonjrgg0000001609472527463
ULTRA TREND,Boys & Girls Printed Cotton Blend T Shirt,"Multicolor, Fashion Sleeve",₹539,"₹1,899",71% off,https://flipkart.com/kuchipoo-boys-girls-printed-cotton-blend-t-shirt/p/itma64b9fed18d99?pid=KTBFTFKURMQKUGZM&lid=LSTKTBFTFKURMQKUGZMOB9VA8&marketplace=FLIPKART&srno=b_9_352&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.KTBFTFKURMQKUGZM.SEARCH&ssid=wx3jonjrgg0000001609472527463
MIST N FOGG,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...","Pink, Pack of 1",₹499,"₹3,999",87% off,https://flipkart.com/kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itmb7ecb4d95b62b?pid=KLCFPCK2GZSRMEBH&lid=LSTKLCFPCK2GZSRMEBHUCJRYL&marketplace=FLIPKART&srno=b_9_353&otracker=browse&fm=organic&iid=5c94d9a7-f9c2-4fc6-9b92-253d92fdfe30.KLCFPCK2GZSRMEBH.SEARCH&ssid=wx3jonjrgg0000001609472527463
Manzon,Manzon Legging For Girls,Multicolor Pack of 4,₹359,₹999,64% off,https://flipkart.com/manzon-legging-girls/p/itm1373b2455c450?pid=KLGFVFWSHHHMAG7W&lid=LSTKLGFVFWSHHHMAG7WXJVKK2&marketplace=FLIPKART&srno=b_10_361&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KLGFVFWSHHHMAG7W.SEARCH&ssid=6nlv4e3nu80000001609472535317
Adbucks,Full Sleeve Self Design Girls Jacket,"Multicolor, Pack of 3",₹599,"₹1,499",60% off,https://flipkart.com/adbucks-full-sleeve-self-design-girls-jacket/p/itm4b63f6f7b1951?pid=JCKFKNMPAKWBCDFC&lid=LSTJCKFKNMPAKWBCDFC7RH5KD&marketplace=FLIPKART&srno=b_10_362&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.JCKFKNMPAKWBCDFC.SEARCH&ssid=6nlv4e3nu80000001609472535317
Manzon,Jegging For Girls,"Light Blue, Pack of 1",₹436,"₹1,099",60% off,https://flipkart.com/manzon-jegging-girls/p/itmfd3zb4qkwphcu?pid=KJEFD3SA2ZAH5FDC&lid=LSTKJEFD3SA2ZAH5FDC6SWN1I&marketplace=FLIPKART&srno=b_10_363&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KJEFD3SA2ZAH5FDC.SEARCH&ssid=6nlv4e3nu80000001609472535317
CUTIEKINS,Girls Casual Polyester Fashion Sleeve Top,"Multicolor, Pack of 5",₹415,₹899,53% off,https://flipkart.com/cutiekins-girls-casual-polyester-fashion-sleeve-top/p/itmb628da021abb2?pid=KTOFH7TJRGPECKJZ&lid=LSTKTOFH7TJRGPECKJZEJJLCE&marketplace=FLIPKART&srno=b_10_364&otracker=browse&fm=organic&iid=en_T2J6%2FdDjt9%2FvFh0YnPCepRPLo1H8Va%2FlKsDYqE04gKkwOpXpjo4fXfYHPMc5YS%2FSxzhx2C%2BIpmcR2mxgmnZrdA%3D%3D&ssid=6nlv4e3nu80000001609472535317
NOT,Track Pant For Boys & Girls,Unstitched,₹555,"₹1,699",67% off,https://flipkart.com/not-track-pant-boys-girls/p/itm5de9183fd1378?pid=KTKFUXPUYJGPHEWA&lid=LSTKTKFUXPUYJGPHEWAYVRFTJ&marketplace=FLIPKART&srno=b_10_365&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KTKFUXPUYJGPHEWA.SEARCH&ssid=6nlv4e3nu80000001609472535317
harrica,Rayon Printed Shirt Fabric,"Red, Cap Sleeve",₹399,₹999,60% off,https://flipkart.com/harrica-rayon-printed-shirt-fabric/p/itm2646f2ef8c837?pid=FABFXTCJMXTX3FGZ&lid=LSTFABFXTCJMXTX3FGZ72D6MX&marketplace=FLIPKART&srno=b_10_366&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.FABFXTCJMXTX3FGZ.SEARCH&ssid=6nlv4e3nu80000001609472535317
smartbazar,Baby Girls Midi/Knee Length Festive/Wedding Dress,Pack of 12,₹299,₹899,66% off,https://flipkart.com/smartbazar-baby-girls-midi-knee-length-festive-wedding-dress/p/itmfa050840ac220?pid=KDEFVYMYDBQEDKYG&lid=LSTKDEFVYMYDBQEDKYGPBLBJA&marketplace=FLIPKART&srno=b_10_367&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KDEFVYMYDBQEDKYG.SEARCH&ssid=6nlv4e3nu80000001609472535317
Naughty Ninos,Full Sleeve Solid Girls Jacket,"Yellow, Pack of 1",₹899,"₹1,999",55% off,https://flipkart.com/naughty-ninos-full-sleeve-solid-girls-jacket/p/itmf3vgmjefxyyzq?pid=JCKEYZZH67UZXYH3&lid=LSTJCKEYZZH67UZXYH31R6TKY&marketplace=FLIPKART&srno=b_10_368&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.JCKEYZZH67UZXYH3.SEARCH&ssid=6nlv4e3nu80000001609472535317
DHARAMG,Baby Boys & Baby Girls Ankle Length,Multicolor,₹265,₹799,66% off,https://flipkart.com/dharamg-baby-boys-girls-ankle-length/p/itm27bf897761ab0?pid=SOCFAHEWEZNWBZRZ&lid=LSTSOCFAHEWEZNWBZRZ4OF1HX&marketplace=FLIPKART&srno=b_10_369&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.SOCFAHEWEZNWBZRZ.SEARCH&ssid=6nlv4e3nu80000001609472535317
Piludi,Girls Lehenga Choli Fusion Wear Embroidered Ghagra Chol...,Black,₹599,"₹1,499",60% off,https://flipkart.com/piludi-girls-lehenga-choli-fusion-wear-embroidered-ghagra/p/itm4782ffa5b85e3?pid=KLCFVQPBRTCQGZWD&lid=LSTKLCFVQPBRTCQGZWDO6O2EY&marketplace=FLIPKART&srno=b_10_370&otracker=browse&fm=organic&iid=en_T2J6%2FdDjt9%2FvFh0YnPCepRPLo1H8Va%2FlKsDYqE04gKl9aYXQXefBW1MGr9kNoZukyoXtD92DeNv8sFzjGKXHiA%3D%3D&ssid=6nlv4e3nu80000001609472535317
UH ENTERPRISE,"Girls, Women Sports Non Padded Bra","Multicolor, Pack of 3",₹449,"₹1,299",65% off,https://flipkart.com/uh-enterprise-girls-women-sports-non-padded-bra/p/itm889e5fd5cb962?pid=BRAFVTTUS7NNRGX8&lid=LSTBRAFVTTUS7NNRGX81MEUJN&marketplace=FLIPKART&srno=b_10_371&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.BRAFVTTUS7NNRGX8.SEARCH&ssid=6nlv4e3nu80000001609472535317
Gkidz,Girls Party(Festive) Dress Belt,Black Pack of 1,₹259,₹999,74% off,https://flipkart.com/gkidz-girls-party-festive-dress-belt/p/itm4492b921f1efd?pid=KPBFKYHYEGZDHQZY&lid=LSTKPBFKYHYEGZDHQZYYNQXF9&marketplace=FLIPKART&srno=b_10_372&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KPBFKYHYEGZDHQZY.SEARCH&ssid=6nlv4e3nu80000001609472535317
Kifayati Bazar,Baby Boys & Baby Girls Printed Velvet T Shirt,"Blue, Pack of 1",₹466,"₹1,199",61% off,https://flipkart.com/kifayati-bazar-baby-boys-girls-printed-velvet-t-shirt/p/itm44b4af83e0304?pid=KTBFWCR89ZRSHGGH&lid=LSTKTBFWCR89ZRSHGGHX5W48L&marketplace=FLIPKART&srno=b_10_373&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KTBFWCR89ZRSHGGH.SEARCH&ssid=6nlv4e3nu80000001609472535317
MVD Fashion,Girls Festive & Party Top and Skirt Set,"Blue, Half Sleeve",₹553,"₹1,999",72% off,https://flipkart.com/mvd-fashion-girls-festive-party-top-skirt-set/p/itmfb7fj7xymnkze?pid=KETFB6NMPMEMUFHB&lid=LSTKETFB6NMPMEMUFHBRZRXBL&marketplace=FLIPKART&srno=b_10_374&otracker=browse&fm=organic&iid=en_T2J6%2FdDjt9%2FvFh0YnPCepRPLo1H8Va%2FlKsDYqE04gKnqNf1%2FQFzOkoap2wqVmV6zN13GNMLuWYmBH2lftYc%2BLw%3D%3D&ssid=6nlv4e3nu80000001609472535317
dipak fashion,"Girls Lehenga Choli Western Wear Embroidered Lehenga, C...","Red, Sleeveless",₹699,"₹1,199",41% off,https://flipkart.com/dipak-fashion-girls-lehenga-choli-western-wear-embroidered-lehenga-dupatta-set/p/itm691e2ef59fa7d?pid=KLCFWUNJCGSZFTKR&lid=LSTKLCFWUNJCGSZFTKREL1NLG&marketplace=FLIPKART&srno=b_10_375&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KLCFWUNJCGSZFTKR.SEARCH&ssid=6nlv4e3nu80000001609472535317
MS BROTHERS,Girls Midi/Knee Length Festive/Wedding Dress,"Pink, Pack of 1",₹319,₹999,68% off,https://flipkart.com/ms-brothers-girls-midi-knee-length-festive-wedding-dress/p/itm828254dc45f1f?pid=KDEFTMFJRYWCA9RW&lid=LSTKDEFTMFJRYWCA9RWIBTETG&marketplace=FLIPKART&srno=b_10_376&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KDEFTMFJRYWCA9RW.SEARCH&ssid=6nlv4e3nu80000001609472535317
FIERA FASHION,Girls Below Knee Festive/Wedding Dress,"Pink, Pack of 1",₹288,"₹1,099",73% off,https://flipkart.com/fiera-fashion-girls-below-knee-festive-wedding-dress/p/itmfd12dc3b8bf42?pid=KDEFP7762SQ6449W&lid=LSTKDEFP7762SQ6449W916MUZ&marketplace=FLIPKART&srno=b_10_377&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KDEFP7762SQ6449W.SEARCH&ssid=6nlv4e3nu80000001609472535317
esencee,"Girls Lehenga Choli Ethnic Wear Embroidered Lehenga, Ch...",White,₹329,"₹1,499",78% off,https://flipkart.com/esencee-girls-lehenga-choli-ethnic-wear-embroidered-lehenga-dupatta-set/p/itm888faa33e2416?pid=KLCFPPWZUGRXJ2GQ&lid=LSTKLCFPPWZUGRXJ2GQGAL6RD&marketplace=FLIPKART&srno=b_10_378&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KLCFPPWZUGRXJ2GQ.SEARCH&ssid=6nlv4e3nu80000001609472535317
Radhe krishna lace,"Girls Lehenga Choli Western Wear, Ethnic Wear, Party We...","Multicolor, Pack of 8",₹474,"₹2,199",78% off,https://flipkart.com/radhe-krishna-lace-girls-lehenga-choli-western-wear-ethnic-party-wear-embroidered-lehenga-dupatta-set/p/itm5ce1b01469d4a?pid=KLCFV9RTTKAFNGDJ&lid=LSTKLCFV9RTTKAFNGDJ5C38DW&marketplace=FLIPKART&srno=b_10_379&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KLCFV9RTTKAFNGDJ.SEARCH&ssid=6nlv4e3nu80000001609472535317
ULTRA TREND,Girls Party(Festive) Top Capri,"Multicolor, Pack of 5",₹445,₹999,55% off,https://flipkart.com/ultra-trend-girls-party-festive-top-capri/p/itm5fecb7d4cd332?pid=KPBFMDYDJPNFT8CU&lid=LSTKPBFMDYDJPNFT8CUDCTWKB&marketplace=FLIPKART&srno=b_10_380&otracker=browse&fm=organic&iid=en_T2J6%2FdDjt9%2FvFh0YnPCepRPLo1H8Va%2FlKsDYqE04gKkzvv3BLsgc2vNhwgdp3YBukw5wDx1l5aGWcMVcfeavQA%3D%3D&ssid=6nlv4e3nu80000001609472535317
Pine,Panty For Girls,"Pink, 3/4 Sleeve",₹269,"₹1,600",83% off,https://flipkart.com/pine-panty-girls/p/itmfew2bqvmghvby?pid=KPAFEVWBJNEGFQYG&lid=LSTKPAFEVWBJNEGFQYGY0EFLD&marketplace=FLIPKART&srno=b_10_381&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KPAFEVWBJNEGFQYG.SEARCH&ssid=6nlv4e3nu80000001609472535317
Kiddeo,Girls Printed Cotton Blend T Shirt,"Blue, Pack of 6",₹551,"₹1,796",69% off,https://flipkart.com/kiddeo-girls-printed-cotton-blend-t-shirt/p/itmfdhd5guzzdcvm?pid=KTBFDK8TERJZE7EQ&lid=LSTKTBFDK8TERJZE7EQZL9XTD&marketplace=FLIPKART&srno=b_10_382&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KTBFDK8TERJZE7EQ.SEARCH&ssid=6nlv4e3nu80000001609472535317
Chandrika,Girls Maxi/Full Length Casual Dress,"Multicolor, Pack of 5",₹290,"₹1,000",71% off,https://flipkart.com/chandrika-girls-maxi-full-length-casual-dress/p/itmb2453b6136ba6?pid=KDEFPUZCGGQECBFC&lid=LSTKDEFPUZCGGQECBFCQT7U09&marketplace=FLIPKART&srno=b_10_383&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KDEFPUZCGGQECBFC.SEARCH&ssid=6nlv4e3nu80000001609472535317
x2o,Track Pant For Boys & Girls,"Black, Pack of 1",₹599,"₹1,499",60% off,https://flipkart.com/x2o-track-pant-boys-girls/p/itmfdwfq98e4jrds?pid=KTKFVHZTPJVEMHDS&lid=LSTKTKFVHZTPJVEMHDSTBORU7&marketplace=FLIPKART&srno=b_10_384&otracker=browse&fm=organic&iid=en_T2J6%2FdDjt9%2FvFh0YnPCepRPLo1H8Va%2FlKsDYqE04gKksyzyiLR0MwfQ2NkHRxjeMrSiSKWPb%2FBaM0utxzFT3OQ%3D%3D&ssid=6nlv4e3nu80000001609472535317
Kuchipoo,Girls Casual Cotton Blend Full Sleeve Top,"Blue, Pack of 1",₹629,"₹1,599",60% off,https://flipkart.com/kuchipoo-girls-casual-cotton-blend-full-sleeve-top/p/itmfhrt643s5tshg?pid=KTOFHRDFV7DZRVUZ&lid=LSTKTOFHRDFV7DZRVUZPHL4QT&marketplace=FLIPKART&srno=b_10_385&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KTOFHRDFV7DZRVUZ.SEARCH&ssid=6nlv4e3nu80000001609472535317
Essanza,Girls Printed Purple Top & Pyjama Set,"Yellow, 3/4 Sleeve",₹349,₹999,65% off,https://flipkart.com/essanza-girls-printed-purple-top-pyjama-set/p/itm490c20cd53ece?pid=NSTFW48GBEPBQCU7&lid=LSTNSTFW48GBEPBQCU71SSXO0&marketplace=FLIPKART&srno=b_10_386&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.NSTFW48GBEPBQCU7.SEARCH&ssid=6nlv4e3nu80000001609472535317
AD & AV,Dungaree For Girls Casual Printed Cotton Blend,"Blue, Pack of 1",₹660,"₹1,499",55% off,https://flipkart.com/ad-av-dungaree-girls-casual-printed-cotton-blend/p/itm9dbe1ab95e2dc?pid=KDRFKKKMS8MQESHZ&lid=LSTKDRFKKKMS8MQESHZK7YIGF&marketplace=FLIPKART&srno=b_10_387&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KDRFKKKMS8MQESHZ.SEARCH&ssid=6nlv4e3nu80000001609472535317
F Plus fashion,"Girls Lehenga Choli Ethnic Wear Embroidered Ghagra, Cho...","Multicolor, Pack of 10",₹539,"₹1,999",73% off,https://flipkart.com/f-plus-fashion-girls-lehenga-choli-ethnic-wear-embroidered-ghagra-choli-dupatta-set/p/itme21e34ad90891?pid=KLCFV3AB9NDB9GGD&lid=LSTKLCFV3AB9NDB9GGDJYTYFJ&marketplace=FLIPKART&srno=b_10_388&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KLCFV3AB9NDB9GGD.SEARCH&ssid=6nlv4e3nu80000001609472535317
MRM CREATION,Girls Maxi/Full Length Party Dress,"Black, Grey",₹277,₹999,72% off,https://flipkart.com/mrm-creation-girls-maxi-full-length-party-dress/p/itmc2748a16408fa?pid=KDEFZ7DQFPR4BHQP&lid=LSTKDEFZ7DQFPR4BHQP3AFJBP&marketplace=FLIPKART&srno=b_10_389&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KDEFZ7DQFPR4BHQP.SEARCH&ssid=6nlv4e3nu80000001609472535317
jogani brother,"Girls Lehenga Choli Ethnic Wear Embroidered Lehenga, Ch...",Multicolor,₹549,"₹1,599",65% off,https://flipkart.com/jogani-brother-girls-lehenga-choli-ethnic-wear-embroidered-lehenga-dupatta-set/p/itm5707148286cde?pid=KLCFWN9FYHGGJGHZ&lid=LSTKLCFWN9FYHGGJGHZLJ4WYC&marketplace=FLIPKART&srno=b_10_390&otracker=browse&fm=organic&iid=en_T2J6%2FdDjt9%2FvFh0YnPCepRPLo1H8Va%2FlKsDYqE04gKmvdpIqgZtGSre%2BhKg89d3Q44GuQwGS6TyyH6oyWCFk%2FQ%3D%3D&ssid=6nlv4e3nu80000001609472535317
Kifayati Bazar,Boys & Girls Graphic Print Hosiery T Shirt,Maroon,₹441,"₹1,299",66% off,https://flipkart.com/kifayati-bazar-boys-girls-graphic-print-hosiery-t-shirt/p/itm6fc8c46b37665?pid=KTBFNZZTFXR4DK2G&lid=LSTKTBFNZZTFXR4DK2GANEY16&marketplace=FLIPKART&srno=b_10_391&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.KTBFNZZTFXR4DK2G.SEARCH&ssid=6nlv4e3nu80000001609472535317
WaySoft,"Women, Girls Sports Non Padded Bra",Pack of 3,₹233,₹475,50% off,https://flipkart.com/waysoft-beautiful-best-quality-grey-black-combo-women-girls-sports-non-padded-bra/p/itme7d78e4062b57?pid=BRAFYM5CGVGHJDRM&lid=LSTBRAFYM5CGVGHJDRMMH27KQ&marketplace=FLIPKART&srno=b_10_392&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.BRAFYM5CGVGHJDRM.SEARCH&ssid=6nlv4e3nu80000001609472535317
INNER TOUCH by INNER TOUCH,"Women, Girls Full Coverage Heavily Padded Bra","Black, Pack of 2",₹449,₹998,55% off,https://flipkart.com/inner-touch-int-1150-women-girls-full-coverage-heavily-padded-bra/p/itm15a6cb2ba75a5?pid=BRAFKHKBKKYRN3GH&lid=LSTBRAFKHKBKKYRN3GHAW11MZ&marketplace=FLIPKART&srno=b_10_393&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.BRAFKHKBKKYRN3GH.SEARCH&ssid=6nlv4e3nu80000001609472535317
CUTIEKINS,Girls Casual Top Trouser,"Yellow, 3/4 Sleeve",₹704,"₹1,699",58% off,https://flipkart.com/cutiekins-girls-casual-top-trouser/p/itme8bad1216d3e7?pid=KPBFXZK2XK2YX8BV&lid=LSTKPBFXZK2XK2YX8BVSYS44D&marketplace=FLIPKART&srno=b_10_394&otracker=browse&fm=organic&iid=en_T2J6%2FdDjt9%2FvFh0YnPCepRPLo1H8Va%2FlKsDYqE04gKlpIXT3By6Ptg6VUJT6Xq9McZYzC%2F4klQjeS9SKwLCg4A%3D%3D&ssid=6nlv4e3nu80000001609472535317
AD & AV,Round Neck Printed Girls Pullover,"White, Black, Beige",₹490,"₹1,345",63% off,https://flipkart.com/ad-av-round-neck-printed-girls-pullover/p/itm931c308b378d2?pid=PLOEYMMV5YU3GPX2&lid=LSTPLOEYMMV5YU3GPX2VJDIOH&marketplace=FLIPKART&srno=b_10_395&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.PLOEYMMV5YU3GPX2.SEARCH&ssid=6nlv4e3nu80000001609472535317
FOOTPRINTS,Baby Boys & Baby Girls Ankle Length,"Multicolor, 3/4 Sleeve",₹245,₹449,45% off,https://flipkart.com/footprints-baby-boys-girls-ankle-length/p/itmde91969cb8e1b?pid=SOCFARCUBUZFVGZK&lid=LSTSOCFARCUBUZFVGZKUVGDTN&marketplace=FLIPKART&srno=b_10_396&otracker=browse&fm=organic&iid=dab94c05-d796-4203-abed-f349b4c6ce38.SOCFARCUBUZFVGZK.SEARCH&ssid=6nlv4e3nu80000001609472535317
Attis Vogue,Baby Boys & Baby Girls Casual T-shirt Three Fourth Pant,White,₹649,"₹1,499",56% off,https://flipkart.com/attis-vogue-baby-boys-girls-casual-t-shirt-three-fourth-pant/p/itm7f330bdcc75c6?pid=KPBFXCHDMHJRFANX&lid=LSTKPBFXCHDMHJRFANXXINZVD&marketplace=FLIPKART&srno=b_11_401&otracker=browse&fm=organic&iid=4ea6266b-6097-444a-9c7b-dd84e1907866.KPBFXCHDMHJRFANX.SEARCH&ssid=94uu4lcsr40000001609472543251
Gkidz,Kids Nightwear Girls Printed Cotton Blend,Multicolor Pack of 1,₹199,₹999,80% off,https://flipkart.com/gkidz-kids-nightwear-girls-printed-cotton-blend/p/itmba2f6f2a5b4cf?pid=KGHFYDA9WF6WHT7Z&lid=LSTKGHFYDA9WF6WHT7Z2O2JBS&marketplace=FLIPKART&srno=b_11_402&otracker=browse&fm=organic&iid=4ea6266b-6097-444a-9c7b-dd84e1907866.KGHFYDA9WF6WHT7Z.SEARCH&ssid=94uu4lcsr40000001609472543251
FTC FASHIONS,Girls Maxi/Full Length Festive/Wedding Dress,"Multicolor, Full Sleeve",₹599,"₹1,299",53% off,https://flipkart.com/ftc-fashions-girls-maxi-full-length-festive-wedding-dress/p/itm4a7d0fc7f57c3?pid=KDEFPU7SJHAWTQHY&lid=LSTKDEFPU7SJHAWTQHY0FZCH3&marketplace=FLIPKART&srno=b_11_403&otracker=browse&fm=organic&iid=4ea6266b-6097-444a-9c7b-dd84e1907866.KDEFPU7SJHAWTQHY.SEARCH&ssid=94uu4lcsr40000001609472543251
CUTIEKINS,Girls Party(Festive) Top Trouser,Pink,₹688,"₹1,299",47% off,https://flipkart.com/cutiekins-girls-party-festive-top-trouser/p/itmac88e9751d5dd?pid=KPBFHGQZSWQNTTY6&lid=LSTKPBFHGQZSWQNTTY676VF7I&marketplace=FLIPKART&srno=b_11_404&otracker=browse&fm=organic&iid=en_9lhX01v6CpGiXzdW7ESHzE2ZUneCbajCbwE7no0VAmkpop71mlCnz5EasD1oI7L0N5GxX4SqlGGip2hHAyuhDA%3D%3D&ssid=94uu4lcsr40000001609472543251
